Elevation,Area(acres),Volume(acre-feet)
4259.3,649.32,3181.17
4259.4,654.14,3246.35
4259.5,658.97,3312
4259.6,663.79,3378.14
4259.7,668.61,3444.76
4259.8,673.43,3511.86
4259.9,678.25,3579.44
4260,683.07,3647.51
4260.1,690.08,3716.17
4260.2,697.09,3785.53
4260.3,704.1,3855.59
4260.4,711.11,3926.35
4260.5,718.12,3997.81
4260.6,725.13,4069.97
4260.7,732.14,4142.83
4260.8,739.15,4216.4
4260.9,746.16,4290.66
4261,753.17,4365.63
4261.1,760.18,4441.3
4261.2,767.19,4517.67
4261.3,774.2,4594.74
4261.4,781.21,4672.51
4261.5,788.22,4750.98
4261.6,795.23,4830.15
4261.7,802.24,4910.02
4261.8,809.25,4990.6
4261.9,816.26,5071.87
4262,823.27,5153.85
4262.1,834.02,5236.71
4262.2,844.76,5320.65
4262.3,855.51,5405.67
4262.4,866.26,5491.76
4262.5,877,5578.92
4262.6,887.75,5667.16
4262.7,898.5,5756.47
4262.8,909.25,5846.86
4262.9,919.99,5938.32
4263,930.74,6030.85
4263.1,941.49,6124.47
4263.2,952.23,6219.15
4263.3,962.98,6314.91
4263.4,973.73,6411.75
4263.5,984.47,6509.66
4263.6,995.22,6608.64
4263.7,1005.97,6708.7
4263.8,1016.72,6809.84
4263.9,1027.46,6912.05
4264,1038.21,7015.33
4264.1,1049.44,7119.71
4264.2,1060.66,7225.22
4264.3,1071.89,7331.85
4264.4,1083.12,7439.6
4264.5,1094.34,7548.47
4264.6,1105.57,7658.46
4264.7,1116.8,7769.58
4264.8,1128.03,7881.82
4264.9,1139.25,7995.19
4265,1150.48,8109.67
4265.1,1161.71,8225.28
4265.2,1172.93,8342.02
4265.3,1184.16,8459.87
4265.4,1195.39,8578.85
4265.5,1206.62,8698.95
4265.6,1217.84,8820.17
4265.7,1229.07,8942.52
4265.8,1240.3,9065.99
4265.9,1251.52,9190.58
4266,1262.75,9316.29
4266.1,1283.07,9443.58
4266.2,1303.39,9572.9
4266.3,1323.71,9704.26
4266.4,1344.04,9837.65
4266.5,1364.36,9973.07
4266.6,1384.68,10110.52
4266.7,1405,10250
4266.8,1425.32,10391.52
4266.9,1445.64,10535.07
4267,1465.97,10680.65
4267.1,1486.29,10828.26
4267.2,1506.61,10977.91
4267.3,1526.93,11129.58
4267.4,1547.25,11283.29
4267.5,1567.57,11439.03
4267.6,1587.89,11596.81
4267.7,1608.22,11756.61
4267.8,1628.54,11918.45
4267.9,1648.86,12082.32
4268,1669.18,12248.22
4268.1,1683.92,12415.88
4268.2,1698.66,12585
4268.3,1713.4,12755.61
4268.4,1728.14,12927.68
4268.5,1742.88,13101.24
4268.6,1757.62,13276.26
4268.7,1772.36,13452.76
4268.8,1787.1,13630.73
4268.9,1801.84,13810.18
4269,1816.57,13991.1
4269.1,1831.31,14173.49
4269.2,1846.05,14357.36
4269.3,1860.79,14542.7
4269.4,1875.53,14729.52
4269.5,1890.27,14917.81
4269.6,1905.01,15107.57
4269.7,1919.75,15298.81
4269.8,1934.49,15491.52
4269.9,1949.23,15685.71
4270,1963.97,15881.37
4270.1,1970.15,16078.08
4270.2,1976.34,16275.4
4270.3,1982.52,16473.34
4270.4,1988.71,16671.91
4270.5,1994.89,16871.09
4270.6,2001.08,17070.88
4270.7,2007.26,17271.3
4270.8,2013.45,17472.34
4270.9,2019.63,17673.99
4271,2025.81,17876.26
4271.1,2032,18079.15
4271.2,2038.18,18282.66
4271.3,2044.37,18486.79
4271.4,2050.55,18691.54
4271.5,2056.74,18896.9
4271.6,2062.92,19102.88
4271.7,2069.11,19309.48
4271.8,2075.29,19516.71
4271.9,2081.48,19724.54
4272,2087.66,19933
4272.1,2092.89,20142.03
4272.2,2098.11,20351.58
4272.3,2103.34,20561.65
4272.4,2108.56,20772.24
4272.5,2113.79,20983.36
4272.6,2119.01,21195
4272.7,2124.24,21407.16
4272.8,2129.46,21619.85
4272.9,2134.69,21833.06
4273,2139.92,22046.79
4273.1,2145.14,22261.04
4273.2,2150.37,22475.82
4273.3,2155.59,22691.11
4273.4,2160.82,22906.93
4273.5,2166.04,23123.28
4273.6,2171.27,23340.14
4273.7,2176.49,23557.53
4273.8,2181.72,23775.44
4273.9,2186.95,23993.88
4274,2192.17,24212.83
4274.1,2198.73,24432.38
4274.2,2205.3,24652.57
4274.3,2211.86,24873.44
4274.4,2218.43,25094.95
4274.5,2224.99,25317.12
4274.6,2231.55,25539.95
4274.7,2238.12,25763.43
4274.8,2244.68,25987.57
4274.9,2251.25,26212.37
4275,2257.81,26437.82
4275.1,2264.37,26663.93
4275.2,2270.94,26890.7
4275.3,2277.5,27118.12
4275.4,2284.07,27346.2
